,機關名稱,子目名稱,"('期初轉入數', 106)","('期初轉入數', 107)","('期初轉入數', 108)","('支用數', 106)","('支用數', 107)","('支用數', 108)",106支用率,107支用率,108支用率
9978,花蓮縣豐濱鄉新社國民小學,應付代收-非政府機關補助-財團法人三花棉業公益基金會（三花精英種子學校計畫）,30000.0,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0
10003,花蓮縣豐濱鄉新社國民小學,應付代收款-其他-獎助學金,861.0,861.0,861.0,0.0,0.0,0.0,0.0,0.0,0.0
10022,花蓮縣豐濱鄉新社國民小學,應付代收款-教育儲蓄專戶-教育儲蓄專戶,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10063,花蓮縣豐濱鄉新社國民小學,應付代收款-非政府機關委託補助-103年度第一次學習成長測驗紙筆測驗資料處理費,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
10064,花蓮縣豐濱鄉新社國民小學,應付代收款-非政府機關委託補助-世界展望會助學金,12000.0,12000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0
10069,花蓮縣豐濱鄉新社國民小學,應付代收款-非政府機關委託補助-部落課後輔導活動費,3600.0,3600.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
10070,花蓮縣豐濱鄉新社國民小學,應付代收款-非政府機關委託補助-餐費與教學用補助基金,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
10103,花蓮縣豐濱鄉港口國民小學,應付代收款-教育儲蓄專戶-102年度教育儲蓄專戶,2001.0,2001.0,2001.0,0.0,0.0,0.0,0.0,0.0,0.0
10185,花蓮縣豐濱鄉豐濱國民小學,應付代收款-教育儲蓄專戶-102年度教育儲蓄專戶,20003.0,20011.0,20019.0,0.0,0.0,0.0,0.0,0.0,0.0
10248,花蓮縣豐濱鄉豐濱國民小學,應付代收款-非政府機關委託補助-棒球運動聯盟,28000.0,28000.0,28000.0,0.0,0.0,0.0,0.0,0.0,0.0
